@relation TestSet

@attribute meanXAcc real
@attribute meanYAcc real
@attribute meanZAcc real
@attribute stdX real
@attribute stdY real
@attribute stdZ real
@attribute avgAcc real
@attribute binX1 real
@attribute binX2 real
@attribute binX3 real
@attribute binX4 real
@attribute binX5 real
@attribute binX6 real
@attribute binX7 real
@attribute binX8 real
@attribute binX9 real
@attribute binX10 real
@attribute binY1 real
@attribute binY2 real
@attribute binY3 real
@attribute binY4 real
@attribute binY5 real
@attribute binY6 real
@attribute binY7 real
@attribute binY8 real
@attribute binY9 real
@attribute binY10 real
@attribute binZ1 real
@attribute binZ2 real
@attribute binZ3 real
@attribute binZ4 real
@attribute binZ5 real
@attribute binZ6 real
@attribute binZ7 real
@attribute binZ8 real
@attribute binZ9 real
@attribute binZ10 real
@attribute peakDistX real
@attribute peakDistY real
@attribute peakDistZ real
@attribute activity {1,2,3,4}


@data
0.21327,0.19263,0.42421,0.22278,0.22064,0.46888,0.55597,0.003,0.001,0.002,0.012,0.054,0.263,0.501,0.131,0.02,0.013,0.007,0.006,0.043,0.405,0.442,0.075,0.011,0.003,0.006,0.002,0.007,0.007,0.015,0.036,0.18,0.509,0.198,0.03,0.013,0.005,529.95,422.13,526.16,4
0.073195,0.043145,0.042211,0.041565,0.035595,0.039087,0.10438,0.007,0.05,0.147,0.167,0.14,0.131,0.161,0.162,0.029,0.006,0.003,0.009,0.021,0.148,0.351,0.356,0.093,0.012,0.004,0.003,0.001,0.006,0.002,0.007,0.028,0.206,0.426,0.262,0.053,0.009,140.04,178.42,169.67,4
2.024,3.2965,2.6353,1.5939,2.9872,2.6972,5.2915,0.004,0.031,0.116,0.205,0.273,0.214,0.105,0.029,0.016,0.007,0.011,0.089,0.09,0.149,0.31,0.205,0.069,0.027,0.02,0.03,0.006,0.025,0.033,0.118,0.239,0.399,0.084,0.039,0.043,0.014,438.38,505.85,422.95,1
4.3731,6.7593,4.427,3.3314,3.3742,4.4116,10.5,0.003,0.021,0.073,0.075,0.25,0.233,0.157,0.136,0.046,0.006,0.055,0.077,0.101,0.129,0.089,0.065,0.081,0.129,0.186,0.088,0.028,0.022,0.022,0.031,0.136,0.294,0.313,0.097,0.037,0.02,501.67,515.32,514.26,2
0.25948,0.21551,0.36425,0.21984,0.19083,0.32424,0.54176,0.01,0.026,0.128,0.356,0.346,0.108,0.02,0.004,0.001,0.001,0.001,0.002,0.007,0.036,0.157,0.359,0.326,0.085,0.019,0.008,0.004,0.017,0.081,0.256,0.407,0.189,0.032,0.008,0.003,0.003,273.8,267.64,350.57,4
0.19354,0.19485,0.30597,0.20071,0.21201,0.34406,0.44782,0.001,0,0.001,0.002,0.005,0.007,0.136,0.592,0.231,0.025,0.002,0.005,0.045,0.503,0.402,0.035,0.004,0.001,0.002,0.001,0.002,0,0.001,0.002,0.013,0.098,0.637,0.222,0.022,0.003,228.23,310.53,331.93,4
2.0995,3.3381,2.5805,1.7587,2.9067,2.659,5.3088,0.001,0.001,0.006,0.119,0.288,0.341,0.183,0.032,0.02,0.009,0.007,0.092,0.084,0.186,0.269,0.22,0.067,0.028,0.019,0.028,0.014,0.025,0.063,0.155,0.391,0.242,0.039,0.042,0.025,0.004,427.32,463.45,440.81,1
2.8925,4.0612,3.4047,2.2713,2.9073,3.6797,7.0831,0.038,0.092,0.18,0.266,0.18,0.12,0.066,0.032,0.018,0.008,0.058,0.17,0.226,0.272,0.184,0.074,0.014,0,0,0.002,0.012,0.036,0.096,0.294,0.384,0.082,0.042,0.024,0.016,0.014,423.91,360.16,715.85,1
0.26043,0.24115,0.39303,0.22225,0.20725,0.35059,0.59542,0.002,0.016,0.054,0.118,0.344,0.307,0.109,0.041,0.007,0.002,0.006,0.007,0.044,0.127,0.324,0.291,0.137,0.047,0.013,0.004,0.002,0.002,0.015,0.033,0.15,0.388,0.258,0.116,0.027,0.009,496.53,293.2,392.52,4
2.1936,3.4928,3.5421,2.2338,3.3571,3.4841,6.1142,0.006,0.02,0.156,0.478,0.224,0.078,0.022,0.008,0.004,0.004,0.018,0.052,0.248,0.358,0.186,0.058,0.028,0.032,0.018,0.002,0.012,0.08,0.232,0.444,0.172,0.036,0.016,0.002,0.004,0.002,430.04,388.36,314.23,3
2.5233,2.5327,1.9719,2.3059,2.2269,2.0803,4.6184,0.004,0.002,0.008,0.048,0.21,0.36,0.274,0.06,0.018,0.016,0.02,0.1,0.226,0.332,0.16,0.1,0.032,0.022,0.002,0.006,0.002,0.006,0.014,0.02,0.046,0.268,0.436,0.118,0.064,0.026,567.75,451.2,705,1
1.1552,1.8971,2.1415,1.0545,1.5732,1.6269,3.4467,0.004,0.006,0.062,0.224,0.392,0.224,0.056,0.022,0.004,0.006,0.046,0.1,0.136,0.308,0.266,0.1,0.026,0.014,0,0.004,0.008,0.108,0.114,0.328,0.186,0.136,0.088,0.02,0.008,0.004,428.05,638.79,390.75,3
3.9454,7.0313,5.3564,3.0625,3.8116,4.6866,10.819,0.003,0.051,0.099,0.179,0.226,0.24,0.1,0.055,0.034,0.013,0.015,0.142,0.17,0.103,0.103,0.122,0.121,0.127,0.094,0.003,0.02,0.046,0.045,0.067,0.128,0.252,0.274,0.112,0.025,0.031,338.79,266.08,353.82,2
2.0249,3.4109,2.5951,1.6673,2.9609,2.6064,5.3422,0.023,0.135,0.267,0.29,0.194,0.05,0.019,0.017,0.003,0.002,0.045,0.094,0.108,0.255,0.209,0.174,0.048,0.023,0.021,0.023,0.009,0.025,0.059,0.112,0.302,0.344,0.065,0.04,0.032,0.012,397.58,483.32,417.41,1
1.9642,3.1846,2.4611,1.6092,2.8779,2.6271,5.0676,0.015,0.088,0.206,0.308,0.227,0.097,0.037,0.014,0.006,0.002,0.03,0.089,0.115,0.219,0.263,0.164,0.045,0.027,0.022,0.026,0.013,0.019,0.076,0.199,0.482,0.109,0.044,0.044,0.013,0.001,384.52,448.52,462.1,1
3.5983,7.5528,5.2975,2.8175,3.7561,4.8985,10.925,0.019,0.067,0.123,0.223,0.226,0.189,0.081,0.04,0.022,0.01,0.035,0.104,0.178,0.107,0.074,0.1,0.149,0.147,0.093,0.013,0.027,0.048,0.044,0.053,0.108,0.308,0.254,0.119,0.015,0.024,345.76,238.5,296.47,2
2.4854,3.924,3.3235,2.1178,3.1831,3.3936,6.4913,0.009,0.018,0.046,0.101,0.279,0.294,0.186,0.047,0.016,0.004,0.008,0.024,0.159,0.096,0.227,0.255,0.137,0.037,0.027,0.03,0.023,0.012,0.031,0.058,0.261,0.382,0.132,0.06,0.031,0.01,356.26,473.57,304.42,1
1.7034,2.414,2.2603,1.8456,2.3126,2.0381,4.175,0.006,0.016,0.08,0.396,0.382,0.086,0.02,0.012,0,0.002,0.006,0.04,0.154,0.398,0.276,0.074,0.038,0.006,0.004,0.004,0.006,0.01,0.086,0.174,0.418,0.17,0.098,0.026,0.006,0.006,478.16,575.31,543.82,3
4.1651,7.0474,4.8239,3.2322,3.7963,4.324,10.67,0.036,0.054,0.107,0.206,0.198,0.2,0.096,0.053,0.03,0.02,0.031,0.112,0.174,0.08,0.076,0.117,0.111,0.14,0.087,0.072,0.027,0.035,0.043,0.056,0.144,0.272,0.264,0.118,0.018,0.023,327.43,306.66,307.28,2
2.0866,3.4653,2.7066,1.7068,3.0949,2.8373,5.4892,0.002,0.003,0.07,0.22,0.322,0.233,0.102,0.027,0.013,0.008,0.007,0.019,0.122,0.108,0.319,0.219,0.114,0.031,0.031,0.03,0.003,0.016,0.032,0.074,0.217,0.449,0.102,0.041,0.048,0.018,441.13,483.58,459.4,1
2.896,3.2969,3.1223,2.3394,2.6849,3.2583,6.1206,0.004,0.02,0.08,0.303,0.246,0.197,0.087,0.034,0.019,0.01,0.025,0.023,0.012,0.05,0.143,0.232,0.199,0.151,0.153,0.012,0.023,0.011,0.016,0.055,0.137,0.353,0.3,0.072,0.014,0.019,450.81,405.58,398.25,1
0.24101,0.24481,0.42922,0.2131,0.21226,0.36812,0.59262,0.003,0.008,0.013,0.052,0.249,0.35,0.209,0.078,0.028,0.01,0.004,0.016,0.038,0.159,0.365,0.285,0.105,0.019,0.006,0.003,0.007,0.006,0.026,0.096,0.264,0.309,0.204,0.059,0.019,0.01,357.62,362.65,425.78,4
3.5406,5.6982,5.3414,3.6832,5.647,6.2021,9.7538,0.008,0.042,0.264,0.502,0.14,0.028,0.008,0.004,0.002,0.002,0.048,0.106,0.312,0.296,0.11,0.062,0.022,0.018,0.006,0.02,0.002,0.006,0.028,0.07,0.446,0.354,0.048,0.024,0.012,0.01,329.27,397.83,318.56,3
